reaction_uid,model_reaction_id,reaction_name,model_equation,is_underground_rxn_prefix,crossref_status,metanetx_reaction_id,kegg_reaction_id,bigg_reaction_id,sbo_id,rxndb_direct_match,rxndb_id,rxndb_template_id,rxndb_ec_number,rxndb_similarity,confidence_status,evidence_tier,training_role,usable_as_first_pass_training_label
MODEL_RXN:0000056,r_0073,4PP-IP5 depyrophosphorylation to IP6,s_0279 + s_0803 --> s_0794 + s_1158 + s_1322,False,has_external_crossref,MNXR103044,R05779,,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000057,r_0074,"4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",s_0279 + s_0434 + s_0794 --> s_0263 + s_0394,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0000058,r_0075,5'-methylthioadenosine phosphorylase,s_0303 + s_1322 --> s_0383 + s_1422,False,has_external_crossref,MNXR101745,R01402,MTAP,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000059,r_0076,5'-nucleotidase (CMP),s_0526 + s_0803 --> s_0543 + s_1322,False,has_external_crossref,MNXR102034,R00511,NTD4,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000060,r_0077,5'-nucleotidase (IMP),s_0803 + s_0849 --> s_0856 + s_1322,False,has_external_crossref,MNXR102030,R01126,NTD11,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000061,r_0078,5'-nucleotidase (UMP),s_0803 + s_1545 --> s_1322 + s_1556,False,has_external_crossref,MNXR102032,R00963,NTD2,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000062,r_0079,5'-phosphoribosylformyl glycinamidine synthetase,s_0301 + s_0434 + s_0803 + s_0999 --> s_0302 + s_0394 + s_0794 + s_0991 + s_1322,False,has_external_crossref,MNXR108904,R04463,PRFGS,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000063,r_0080,"5,10-methylenetetrahydrofolate reductase (NADPH)",s_0306 + s_0794 + s_1212 --> s_0322 + s_1207,False,has_external_crossref,MNXR101752,R01224,MTHFR3,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000064,r_0081,5-aminolevulinate synthase,s_0799 + s_1005 + s_1464 --> s_0317 + s_0460 + s_0532,False,has_external_crossref,MNXR95695,R00830,ALASm,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000065,r_0082,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase",s_0318 + s_0803 --> s_0794 + s_1158 + s_1322,False,has_external_crossref,MNXR103044,R05779,,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000066,r_0083,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase",s_0434 + s_1158 --> s_0318 + s_0394,False,has_external_crossref,MNXR101584,R09087,,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000067,r_0084,5-formethyltetrahydrofolate cyclo-ligase,s_0319 + s_0434 --> s_0304 + s_0394 + s_1322,False,has_external_crossref,MNXR99668,R02301,FTHFCL,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000068,r_0085,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase,s_0323 + s_1012 --> s_1029 + s_1486,False,has_external_crossref,MNXR101555,R04405,MHPGLUT,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000069,r_0086,5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase,s_1423 --> s_0311 + s_0803,False,has_external_crossref,MNXR125830,R07392,MDRPD,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000070,r_0087,5-methylthioribose-1-phosphate isomerase,s_1422 <=> s_1423,False,has_external_crossref,MNXR101759,R04420,MTRI,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000071,r_0088,"5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",s_0318 + 2 s_0794 + s_1322 <=> s_0263 + s_0803,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0000072,r_0089,"5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",s_0318 + 2 s_0794 + s_1322 <=> s_0309 + s_0803,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0000073,r_0090,6-phosphofructo-2-kinase,s_0434 + s_0557 --> s_0394 + s_0442 + s_0794,False,has_external_crossref,MNXR124534,,PFK26,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000074,r_0091,6-phosphogluconolactonase,s_0335 + s_0803 --> s_0340 + s_0794,False,has_external_crossref,MNXR102539,R02035,PGL,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000075,r_0092,6PP-IP5 depyrophosphorylation to IP6,s_0333 + s_0803 --> s_0794 + s_1158 + s_1322,False,has_external_crossref,MNXR103044,R05779,,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000076,r_0093,"6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",s_0333 + s_0434 + s_0794 --> s_0309 + s_0394,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0000077,r_0094,8-amino-7-oxononanoate synthase,s_0794 + s_0955 + s_1368 --> s_0352 + s_0456 + s_0529,False,has_external_crossref,MNXR95854,R03210,,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000078,r_0095,acetaldehyde condensation,2 s_0359 --> s_0020,False,has_external_crossref,MNXR95211,,ACALDCD,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000079,r_0096,acetohydroxy acid isomeroreductase,s_0146 + s_0799 + s_1214 --> s_0016 + s_1210,False,model_only_no_external_crossref,,,,SBO:0000176,,,,,,model_reaction_without_external_crossref,model_only,supporting_model_context,False
MODEL_RXN:0000080,r_0097,acetolactate synthase,s_0799 + 2 s_1401 --> s_0146 + s_0460,False,has_external_crossref,MNXR106335,R00006,,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000081,r_0099,acetyl-CoA ACP transacylase,s_0376 + s_1845 <=> s_0372 + s_0532,False,has_external_crossref,MNXR95376,R01624,ACOATAm,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000082,r_0100,acetyl-CoA C-acyltransferase (palmitoyl-CoA),s_0250 + s_0534 --> s_0378 + s_1305,False,has_external_crossref,MNXR95204,,ACACT8p,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
MODEL_RXN:0000083,r_0101,acetyl-CoA C-acyltransferase (tetracosanoyl-CoA),s_0243 + s_0534 --> s_0378 + s_1482,False,has_external_crossref,MNXR124343,,ACACT9p,SBO:0000176,,,,,,curated_or_database_crossreferenced,external_crossref,preferred_reference_label,True
