reaction_uid,model_reaction_id,reaction_name,is_underground_rxn_prefix,model_equation,metanetx_reaction_id,kegg_reaction_id,kegg_pathway_ids,bigg_reaction_id,sbo_id,mnx_equation,mnx_reference,mnx_classifs,mnx_is_balanced,mnx_is_transport,crossref_status,notes
MODEL_RXN:0000045,r_0061,3-isopropylmalate dehydrogenase,False,s_0009 + s_1198 --> s_0010 + s_0794 + s_1203,MNXR100878,R04426,sce00290|sce00660|sce01110|sce01210|sce01230,IPMD,SBO:0000176,1 MNXM10@MNXD1 + 1 MNXM1602@MNXD1 + 1 MNXM1@MNXD1 = 1 MNXM741109@MNXD1 + 1 MNXM8@MNXD1,rheaR:10892,1.1.1.85,B,,has_external_crossref,
MODEL_RXN:0000046,r_0062,3-methyl-2-oxobutanoate decarboxylase,False,s_0232 + s_0794 --> s_0456 + s_0937,MNXR94922,,sce00010|sce01110|sce01130,3MOBDC,SBO:0000176,1 MNXM13@MNXD1 + 1 MNXM5189@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM732866@MNXD1,rheaR:54356,4.1.1.1;4.1.1.72,B,,has_external_crossref,
MODEL_RXN:0000047,r_0063,3-methyl-2-oxobutanoate hydroxymethyltransferase,False,s_0233 + s_0307 + s_0807 --> s_0150 + s_1488,MNXR101702,R01226,sce00770|sce01110,MTMOHT,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000048,r_0064,3-methyl-2-oxopentanoate decarboxylase,False,s_0056 + s_0794 --> s_0166 + s_0456,MNXR94925,R03894,sce00010|sce01110|sce01130,3MOPDC,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000049,r_0065,3-phosphoshikimate 1-carboxyvinyltransferase,False,s_0261 + s_1360 --> s_0324 + s_1322,MNXR103226,R03460,sce00400|sce01110|sce01130|sce01230,PSCVT,SBO:0000176,1 MNXM1265@MNXD1 + 1 MNXM73@MNXD1 = 1 MNXM1365@MNXD1 + 1 MNXM9@MNXD1,rheaR:21256,2.5.1.19,B,,has_external_crossref,
MODEL_RXN:0000050,r_0066,4-amino-4-deoxychorismate synthase,False,s_0515 + s_0999 --> s_0269 + s_0991,MNXR95440,R01716,sce00790,ADCS,SBO:0000176,1 MNXM1458@MNXD1 + 1 MNXM741173@MNXD1 = 1 MNXM337@MNXD1 + 1 MNXM37@MNXD1,rheaR:11672,2.6.1.85;6.3.5.8,B,,has_external_crossref,
MODEL_RXN:0000051,r_0067,4-aminobenzoate synthase,False,s_0269 --> s_0271 + s_0794 + s_1399,MNXR95436,R05553,,ADCL,SBO:0000176,1 MNXM1458@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM23@MNXD1 + 1 MNXM421@MNXD1,rheaR:16201,4.1.3.38,B,,has_external_crossref,
MODEL_RXN:0000052,r_0068,4-aminobutyrate transaminase,False,s_0180 + s_0734 --> s_0991 + s_1461,MNXR95186,R01648,sce00250|sce00280|sce00410|sce00640|sce00650,ABTA,SBO:0000176,1 MNXM172@MNXD1 + 1 MNXM741173@MNXD1 = 1 MNXM192@MNXD1 + 1 MNXM20@MNXD1,rheaR:23352,2.6.1.19,B,,has_external_crossref,
MODEL_RXN:0000053,r_0069,4-hydroxy-L-threonine synthase,False,s_0264 + s_0803 --> s_0285 + s_1322,MNXR95024,R05086,sce00260|sce00750|sce01110|sce01230,4HTHRS,SBO:0000176,1 MNXM1802@MNXD1 + 1 MNXM9@MNXD1 = 1 MNXM759@MNXD1 + 1 WATER@MNXD1,rheaR:30659,4.2.3;4.2.3.1,B,,has_external_crossref,
MODEL_RXN:0000054,r_0070,4-hydroxybenzoate formation,False,s_0290 + s_0807 --> s_0287 + s_0532 + s_0799,MNXR95011,R01301,,4HBZFm,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000055,r_0072,4-methyl-2-oxopentanoate decarboxylase,False,s_0291 + s_0794 --> s_0234 + s_0456,MNXR137950,,sce00010|sce01110|sce01130,4MOPDC,SBO:0000176,1 MNXM13@MNXD1 + 1 MNXM1711@MNXD1 = 1 MNXM1@MNXD1 + 1 MNXM404@MNXD1,rheaR:54360,4.1.1.1;4.1.1.72,B,,has_external_crossref,
MODEL_RXN:0000056,r_0073,4PP-IP5 depyrophosphorylation to IP6,False,s_0279 + s_0803 --> s_0794 + s_1158 + s_1322,MNXR103044,R05779,,,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000057,r_0074,"4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",False,s_0279 + s_0434 + s_0794 --> s_0263 + s_0394,,,sce04070|sce04138,,SBO:0000176,,,,,,model_only_no_external_crossref,
MODEL_RXN:0000058,r_0075,5'-methylthioadenosine phosphorylase,False,s_0303 + s_1322 --> s_0383 + s_1422,MNXR101745,R01402,sce00270,MTAP,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000059,r_0076,5'-nucleotidase (CMP),False,s_0526 + s_0803 --> s_0543 + s_1322,MNXR102034,R00511,sce00760,NTD4,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000060,r_0077,5'-nucleotidase (IMP),False,s_0803 + s_0849 --> s_0856 + s_1322,MNXR102030,R01126,sce00230|sce00760,NTD11,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000061,r_0078,5'-nucleotidase (UMP),False,s_0803 + s_1545 --> s_1322 + s_1556,MNXR102032,R00963,sce00760,NTD2,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000062,r_0079,5'-phosphoribosylformyl glycinamidine synthetase,False,s_0301 + s_0434 + s_0803 + s_0999 --> s_0302 + s_0394 + s_0794 + s_0991 + s_1322,MNXR108904,R04463,sce00230|sce01110|sce01130,PRFGS,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000063,r_0080,"5,10-methylenetetrahydrofolate reductase (NADPH)",False,s_0306 + s_0794 + s_1212 --> s_0322 + s_1207,MNXR101752,R01224,sce00670|sce01200,MTHFR3,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000064,r_0081,5-aminolevulinate synthase,False,s_0799 + s_1005 + s_1464 --> s_0317 + s_0460 + s_0532,MNXR95695,R00830,sce00260|sce00860|sce01110,ALASm,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000065,r_0082,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase",False,s_0318 + s_0803 --> s_0794 + s_1158 + s_1322,MNXR103044,R05779,,,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000066,r_0083,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase",False,s_0434 + s_1158 --> s_0318 + s_0394,MNXR101584,R09087,sce04070|sce04138,,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000067,r_0084,5-formethyltetrahydrofolate cyclo-ligase,False,s_0319 + s_0434 --> s_0304 + s_0394 + s_1322,MNXR99668,R02301,sce00670,FTHFCL,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000068,r_0085,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase,False,s_0323 + s_1012 --> s_1029 + s_1486,MNXR101555,R04405,sce00270|sce00450|sce01110|sce01230,MHPGLUT,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000069,r_0086,5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase,False,s_1423 --> s_0311 + s_0803,MNXR125830,R07392,,MDRPD,SBO:0000176,1 MNXM162358@MNXD1 + 1 WATER@MNXD1 = 1 MNXM737603@MNXD1,rheaR:15549,4.2.1.109,B,,has_external_crossref,
MODEL_RXN:0000070,r_0087,5-methylthioribose-1-phosphate isomerase,False,s_1422 <=> s_1423,MNXR101759,R04420,,MTRI,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000071,r_0088,"5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",False,s_0318 + 2 s_0794 + s_1322 <=> s_0263 + s_0803,,,,,SBO:0000176,,,,,,model_only_no_external_crossref,
MODEL_RXN:0000072,r_0089,"5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",False,s_0318 + 2 s_0794 + s_1322 <=> s_0309 + s_0803,,,,,SBO:0000176,,,,,,model_only_no_external_crossref,
MODEL_RXN:0000073,r_0090,6-phosphofructo-2-kinase,False,s_0434 + s_0557 --> s_0394 + s_0442 + s_0794,MNXR124534,,sce00051,PFK26,SBO:0000176,1 MNXM1@MNXD1 + 1 MNXM40333@MNXD1 + 1 MNXM739220@MNXD1 = 1 MNXM3@MNXD1 + 1 MNXM89629@MNXD1,sabiorkR:1114,2.7.1.105;2.7.1.11,B,,has_external_crossref,
MODEL_RXN:0000074,r_0091,6-phosphogluconolactonase,False,s_0335 + s_0803 --> s_0340 + s_0794,MNXR102539,R02035,sce00030|sce01110|sce01130|sce01200,PGL,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000075,r_0092,6PP-IP5 depyrophosphorylation to IP6,False,s_0333 + s_0803 --> s_0794 + s_1158 + s_1322,MNXR103044,R05779,,,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000076,r_0093,"6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",False,s_0333 + s_0434 + s_0794 --> s_0309 + s_0394,,,sce04070|sce04138,,SBO:0000176,,,,,,model_only_no_external_crossref,
MODEL_RXN:0000077,r_0094,8-amino-7-oxononanoate synthase,False,s_0794 + s_0955 + s_1368 --> s_0352 + s_0456 + s_0529,MNXR95854,R03210,,,SBO:0000176,1 MNXM1105732@MNXD1 + 1 MNXM1@MNXD1 + 1 MNXM727687@MNXD1 = 1 MNXM13@MNXD1 + 1 MNXM726864@MNXD1 + 1 MNXM727276@MNXD1,rheaR:20712,2.3.1.47,B,,has_external_crossref,
MODEL_RXN:0000078,r_0095,acetaldehyde condensation,False,2 s_0359 --> s_0020,MNXR95211,,sce00010|sce01110|sce01130,ACALDCD,SBO:0000176,1 MNXM664@MNXD1 = 2 MNXM75@MNXD1,biggR:ACALDCD,,B,,has_external_crossref,
MODEL_RXN:0000079,r_0096,acetohydroxy acid isomeroreductase,False,s_0146 + s_0799 + s_1214 --> s_0016 + s_1210,,,sce00290|sce00770|sce01110|sce01130|sce01210|sce01230,,SBO:0000176,,,,,,model_only_no_external_crossref,
MODEL_RXN:0000080,r_0097,acetolactate synthase,False,s_0799 + 2 s_1401 --> s_0146 + s_0460,MNXR106335,R00006,sce00290|sce00650|sce00660|sce00770|sce01110|sce01130|sce01210|sce01230,,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000081,r_0099,acetyl-CoA ACP transacylase,False,s_0376 + s_1845 <=> s_0372 + s_0532,MNXR95376,R01624,sce00190,ACOATAm,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000082,r_0100,acetyl-CoA C-acyltransferase (palmitoyl-CoA),False,s_0250 + s_0534 --> s_0378 + s_1305,MNXR95204,,sce00071|sce00280|sce01040|sce01110|sce01130|sce01212|sce04146,ACACT8p,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000083,r_0101,acetyl-CoA C-acyltransferase (tetracosanoyl-CoA),False,s_0243 + s_0534 --> s_0378 + s_1482,MNXR124343,,sce00071|sce00280|sce01040|sce01110|sce01130|sce01212|sce04146,ACACT9p,SBO:0000176,1 MNXM1104012@MNXD1 + 1 MNXM1104266@MNXD1 = 1 MNXM727276@MNXD1 + 1 MNXM734932@MNXD1,seedR:rxn09480,,,,has_external_crossref,
MODEL_RXN:0000084,r_0102,acetyl-CoA C-acyltransferase (myristoyl-CoA),False,s_0253 + s_0534 --> s_0378 + s_1179,MNXR95203,R03991,sce00071|sce00280|sce01040|sce01110|sce01130|sce01212|sce04146,ACACT7p,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000085,r_0103,acetyl-CoA C-acetyltransferase,False,2 s_0373 <=> s_0367 + s_0529,MNXR95194,R00238,sce00071|sce00072|sce00280|sce00310|sce00380|sce00620|sce00630|sce00640|sce00650|sce00900|sce01110|sce01130|sce01200|sce01212,ACACT1r,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000086,r_0104,acetyl-CoA C-acetyltransferase,False,2 s_0376 <=> s_0370 + s_0532,MNXR95194,R00238,sce00071|sce00072|sce00280|sce00310|sce00380|sce00620|sce00630|sce00640|sce00650|sce00900|sce01110|sce01130|sce01200|sce01212,ACACT1m,SBO:0000176,,,,,,has_external_crossref,
MODEL_RXN:0000087,r_0105,acetyl-CoA C-acyltransferase (lauroyl-CoA),False,s_0257 + s_0534 --> s_0378 + s_1076,MNXR95201,R03858,sce00071|sce00280|sce01040|sce01110|sce01130|sce01212|sce04146,ACACT6p,SBO:0000176,,,,,,has_external_crossref,
