pool,model_reaction_id,reaction_uid,fallback_reason,orfs,model_equation
reference_only,r_1664,MODEL_RXN:0001136,fallback_equation,,s_0460 + s_0807 <=> s_0447 + s_0799
reference_only,r_1665,MODEL_RXN:0001137,fallback_equation,,s_0461 + s_0808 <=> s_0448 + s_0800
reference_only,r_1668,MODEL_RXN:0001139,fallback_equation,,s_0458 + s_0805 <=> s_0446 + s_0796
reference_only,r_1669,MODEL_RXN:0001140,fallback_equation,,s_0445 <=> s_0448
reference_only,r_1671,MODEL_RXN:0001141,fallback_equation,,s_0452 --> 
reference_only,r_1672,MODEL_RXN:0001142,fallback_equation,,s_0458 --> 
reference_only,r_1673,MODEL_RXN:0001143,fallback_equation,,s_0021 --> s_0024
reference_only,r_1674,MODEL_RXN:0001144,fallback_equation,,s_0021 + s_1237 --> s_0024 + s_1235
reference_only,r_1675,MODEL_RXN:0001145,fallback_equation,,s_0467 <=> s_0468
reference_only,r_1676,MODEL_RXN:0001146,fallback_equation,,s_0476 <=> s_0475
reference_only,r_1677,MODEL_RXN:0001147,fallback_equation,,s_0482 <=> s_0481
reference_only,r_1679,MODEL_RXN:0001149,fallback_equation,,s_0479 <=> s_0478
reference_only,r_1680,MODEL_RXN:0001150,fallback_equation,,s_0485 <=> s_0484
reference_only,r_1682,MODEL_RXN:0001152,fallback_equation,,s_1275 + s_1416 + s_1569 --> s_0662 + s_0794 + 2 s_0803 + s_1413
reference_only,r_1683,MODEL_RXN:0001153,fallback_equation,,s_0513 --> 
reference_only,r_1685,MODEL_RXN:0001155,fallback_equation,,s_0515 --> s_0286 + s_1399
reference_only,r_1686,MODEL_RXN:0001156,fallback_equation,,s_0523 <=> s_0522
reference_only,r_1687,MODEL_RXN:0001157,fallback_equation,,s_0523 --> 
reference_only,r_1688,MODEL_RXN:0001158,fallback_equation,,s_0522 + s_0942 <=> s_0525 + s_0940
reference_only,r_1689,MODEL_RXN:0001159,fallback_equation,,s_0066 + s_0525 <=> s_0069 + s_0522
reference_only,r_1690,MODEL_RXN:0001160,fallback_equation,,s_0526 + s_0803 --> s_0545 + s_1408
reference_only,r_1691,MODEL_RXN:0001161,fallback_equation,,s_0456 <=> s_0457
reference_only,r_1694,MODEL_RXN:0001162,fallback_equation,,s_0461 <=> s_0456
reference_only,r_1695,MODEL_RXN:0001163,fallback_equation,,s_0456 <=> s_0462
reference_only,r_1696,MODEL_RXN:0001164,fallback_equation,,s_0456 <=> s_0460
reference_only,r_1697,MODEL_RXN:0001165,fallback_equation,,s_0456 <=> s_0458
reference_only,r_1698,MODEL_RXN:0001166,fallback_equation,,s_0529 <=> s_0530
reference_only,r_1699,MODEL_RXN:0001167,fallback_equation,,s_0529 <=> s_0533
reference_only,r_1700,MODEL_RXN:0001168,fallback_equation,,s_0534 <=> s_0529
reference_only,r_1702,MODEL_RXN:0001169,fallback_equation,,s_0544 --> 
reference_only,r_1705,MODEL_RXN:0001172,fallback_equation,,s_0546 --> 
reference_only,r_1706,MODEL_RXN:0001173,fallback_equation,,s_0549 --> 
reference_only,r_1708,MODEL_RXN:0001175,fallback_equation,,s_0551 <=> s_0552
reference_only,r_1709,MODEL_RXN:0001176,fallback_equation,,s_0554 --> 
reference_only,r_1710,MODEL_RXN:0001177,fallback_equation,,s_0559 --> 
reference_only,r_1711,MODEL_RXN:0001178,fallback_equation,,s_0560 --> 
reference_only,r_1712,MODEL_RXN:0001179,fallback_equation,,s_0562 --> 
reference_only,r_1713,MODEL_RXN:0001180,fallback_equation,,s_0413 <=> s_0412
reference_only,r_1714,MODEL_RXN:0001181,fallback_equation,,s_0565 <=> 
reference_only,r_1715,MODEL_RXN:0001182,fallback_equation,,s_0572 --> 
reference_only,r_1716,MODEL_RXN:0001183,fallback_equation,,s_0576 --> 
reference_only,r_1718,MODEL_RXN:0001185,fallback_equation,,s_0579 --> 
reference_only,r_1720,MODEL_RXN:0001187,fallback_equation,,s_0582 <=> s_0583
reference_only,r_1721,MODEL_RXN:0001188,fallback_equation,,s_0587 <=> s_0588
reference_only,r_1722,MODEL_RXN:0001189,fallback_equation,,s_0434 + s_0794 + s_0803 --> s_0419 + s_0950
reference_only,r_1723,MODEL_RXN:0001190,fallback_equation,,s_0586 + s_0794 + s_0803 --> s_0419 + s_0639
reference_only,r_1724,MODEL_RXN:0001191,fallback_equation,,s_0394 + s_0794 + s_0803 --> s_0419 + s_0846
reference_only,r_1726,MODEL_RXN:0001193,fallback_equation,,s_0591 <=> s_0593
reference_only,r_1727,MODEL_RXN:0001194,fallback_equation,,s_0597 --> 
reference_only,r_1728,MODEL_RXN:0001195,fallback_equation,,s_0133 --> s_0132
reference_only,r_1730,MODEL_RXN:0001197,fallback_equation,,s_0611 --> 
reference_only,r_1731,MODEL_RXN:0001198,fallback_equation,,s_0611 --> s_0610
reference_only,r_1732,MODEL_RXN:0001199,fallback_equation,,s_0135 --> s_0134
reference_only,r_1733,MODEL_RXN:0001200,fallback_equation,,s_0137 --> s_0136
reference_only,r_1734,MODEL_RXN:0001201,fallback_equation,,s_0138 + s_0434 --> s_0394 + s_0654 + s_0794
reference_only,r_1737,MODEL_RXN:0001204,fallback_equation,,s_0613 <=> s_0614
reference_only,r_1738,MODEL_RXN:0001205,fallback_equation,,s_0343 <=> s_0344
reference_only,r_1743,MODEL_RXN:0001207,fallback_equation,,s_0625 <=> s_0626
reference_only,r_1744,MODEL_RXN:0001208,fallback_equation,,s_0346 + s_0803 --> s_0345 + s_0633 + s_0794
reference_only,r_1745,MODEL_RXN:0001209,fallback_equation,,s_0347 <=> s_0348
reference_only,r_1746,MODEL_RXN:0001210,fallback_equation,,s_0632 <=> s_0629
reference_only,r_1747,MODEL_RXN:0001211,fallback_equation,,s_0633 <=> s_0638
reference_only,r_1748,MODEL_RXN:0001212,fallback_equation,,s_0645 <=> s_0646
reference_only,r_1749,MODEL_RXN:0001213,fallback_equation,,s_0651 --> 
reference_only,r_1750,MODEL_RXN:0001214,fallback_equation,,s_0651 <=> s_0650
reference_only,r_1751,MODEL_RXN:0001215,fallback_equation,,s_0652 <=> s_0653
reference_only,r_1752,MODEL_RXN:0001216,fallback_equation,,s_0654 <=> s_0655
reference_only,r_1753,MODEL_RXN:0001217,fallback_equation,,s_0659 --> 
reference_only,r_1754,MODEL_RXN:0001218,fallback_equation,,s_0662 <=> s_0663
reference_only,r_1757,MODEL_RXN:0001219,fallback_equation,,s_0668 --> 
reference_only,r_1758,MODEL_RXN:0001220,fallback_equation,,s_0667 <=> s_0666
reference_only,r_1759,MODEL_RXN:0001221,fallback_equation,,s_0666 <=> s_0669
reference_only,r_1761,MODEL_RXN:0001222,fallback_equation,,s_0681 --> 
reference_only,r_1762,MODEL_RXN:0001223,fallback_equation,,s_0680 <=> s_0681
reference_only,r_1763,MODEL_RXN:0001224,fallback_equation,,s_0680 <=> s_0682
reference_only,r_1764,MODEL_RXN:0001225,fallback_equation,,s_0684 --> 
reference_only,r_1766,MODEL_RXN:0001227,fallback_equation,,s_0190 <=> s_0191
reference_only,r_1776,MODEL_RXN:0001233,fallback_equation,,s_1248 <=> s_1253
reference_only,r_1777,MODEL_RXN:0001234,fallback_equation,,s_1163 <=> s_1161
reference_only,r_1788,MODEL_RXN:0001235,fallback_equation,,s_0702 --> 
reference_only,r_1791,MODEL_RXN:0001237,fallback_equation,,s_0715 --> 
reference_only,r_1792,MODEL_RXN:0001238,fallback_equation,,s_0720 --> 
reference_only,r_1793,MODEL_RXN:0001239,fallback_equation,,s_0723 --> 
reference_only,r_1794,MODEL_RXN:0001240,fallback_equation,,s_0724 --> s_0722
reference_only,r_1796,MODEL_RXN:0001242,fallback_equation,,s_0726 <=> s_0725
reference_only,r_1797,MODEL_RXN:0001243,fallback_equation,,s_0434 + s_0556 --> s_0394 + s_0555 + s_0794
reference_only,r_1798,MODEL_RXN:0001244,fallback_equation,,s_0726 --> 
reference_only,r_1800,MODEL_RXN:0001245,fallback_equation,,s_0736 --> 
