model_reaction_id,reaction_name,model_equation,rxndb_id,rxndb_ec_number,enzyme_ec_numbers,pu_reference_likeness_score
rxn100,rxn100,s_0764 + sn_198 --> s_0775 + s_1427,rxn100,2.6.1.49,2.2.1.1|2.2.1.2|2.2.1.6,0.9981291609112634
rxn103,rxn103,s_0764 + sn_330 --> s_0767 + s_0775,rxn103,2.6.1.49,2.2.1.1|2.2.1.2|2.2.1.6,0.9981283301040516
rxn2100,rxn2100,s_0794 + s_0897 + s_1212 + s_1275 --> s_0803 + s_0903 + s_1207,rxn2100,1.1.1.1,1.14.11.-|1.14.13.-|1.14.13.9|1.14.14.-,0.998127232343081
rxn551,rxn551,s_0180 + s_0610 + s_1275 --> s_0456 + s_0543 + s_1458,rxn551,1.1.1.21,1.14.11.-|1.14.11.27,0.9981213233199026
rxn785,rxn785,s_0837 + s_1248 --> s_0803 + sn_128,rxn785,3.1.1.28,,0.9981126019815822
rxn878,rxn878,s_0282 + s_0955 + s_1275 --> s_0066 + s_0456 + s_1039,rxn878,,1.14.11.-|1.14.11.27,0.9981084692356351
rxn835,rxn835,s_0803 + s_1051 --> s_0419 + s_1399 + sn_373,rxn835,2.4.1.170,4.1.99.12,0.9981048986778757
rxn622,rxn622,s_0434 + s_1003 + s_1321 --> s_0423 + s_0633 + s_0794 + sn_152,rxn622,1.14.13.1,6.3.2.1|6.3.2.12|6.3.2.17|6.3.2.2|6.3.2.3|6.3.2.5|6.3.2.6,0.9980988472116956
rxn1659,rxn1659,s_0689 + s_1275 + sn_151 --> s_0687 + s_0794 + s_0803 + sn_257,rxn1659,1.1.1,1.14.14.154|1.14.14.17,0.9980973443554693
rxn291,rxn291,s_1469 + s_4073 --> s_0924 + s_1471,rxn291,,4.4.1.1|4.4.1.13|4.4.1.17|4.4.1.5,0.9980958122203336
rxn315,rxn315,s_3852 --> s_0415,rxn315,,5.4.2.11|5.4.2.2|5.4.2.3|5.4.2.8,0.9980929021104974
rxn110,rxn110,s_0260 + s_0556 --> s_1426 + s_3997,rxn110,2.6.1.49,2.2.1.1|2.2.1.2|2.2.1.6,0.9980917240990298
rxn656,rxn656,s_0286 + s_1275 + s_3874 --> sn_208 + sn_274,rxn656,2.1.1.-;2.1.1.291,1.-.-.-|1.14.18.-|1.14.18.6|1.14.18.7|1.16.3.1,0.9980908860108113
rxn872,rxn872,s_0180 + s_0958 + s_1275 --> s_0285 + s_0456 + s_1458,rxn872,,1.14.11.-|1.14.11.27,0.9980843653635012
rxn2116,rxn2116,s_0794 + s_1116 + s_1212 + s_1275 --> s_0803 + s_1128 + s_1207,rxn2116,2.4.1;2.4.1.-,1.14.11.-|1.14.13.-|1.14.13.9|1.14.14.-,0.9980814532047217
rxn2531,rxn2531,s_0434 + s_0955 + s_0991 --> s_0423 + s_0633 + s_0794 + s_0987,rxn2531,,6.3.2.1|6.3.2.12|6.3.2.17|6.3.2.2|6.3.2.3|6.3.2.5|6.3.2.6,0.9980725243992802
rxn371,rxn371,s_0145 + s_0419 + s_0794 + s_1203 --> s_0803 + s_1182 + s_1198,rxn371,,1.4.1.4,0.998069968570451
