model_reaction_id,reaction_name,model_equation,label,label_name,model_split,lower_bound_num,upper_bound_num,enzyme_evidence_rows_num,reactant_count,product_count,stoich_metabolite_count,has_gpr,has_ec,has_formula_balance,has_charge_balance,text
r_0090,6-phosphofructo-2-kinase,s_0434 + s_0557 --> s_0394 + s_0442 + s_0794,1,curated_reference,test,0.0,1000.0,2,2,3,5,1,1,1,1,6-phosphofructo-2-kinase ; s_0434 + s_0557 --> s_0394 + s_0442 + s_0794 ; forward ; 2.7.1.105 ; YIL107C or YOL136C
r_0091,6-phosphogluconolactonase,s_0335 + s_0803 --> s_0340 + s_0794,1,curated_reference,train,0.0,1000.0,2,2,2,4,1,1,1,1,6-phosphogluconolactonase ; s_0335 + s_0803 --> s_0340 + s_0794 ; forward ; 3.1.1.31 ; YGR248W or YHR163W
r_0092,6PP-IP5 depyrophosphorylation to IP6,s_0333 + s_0803 --> s_0794 + s_1158 + s_1322,1,curated_reference,dev,0.0,1000.0,2,2,3,5,1,1,1,1,6PP-IP5 depyrophosphorylation to IP6 ; s_0333 + s_0803 --> s_0794 + s_1158 + s_1322 ; forward ; 2.7.4.24|3.6.1.10|3.6.1.52|3.6.1.60 ; YLR410W or YOR163W
r_0094,8-amino-7-oxononanoate synthase,s_0794 + s_0955 + s_1368 --> s_0352 + s_0456 + s_0529,1,curated_reference,test,0.0,1000.0,0,3,3,6,0,0,1,1,8-amino-7-oxononanoate synthase ; s_0794 + s_0955 + s_1368 --> s_0352 + s_0456 + s_0529 ; forward ;  ; 
r_0095,acetaldehyde condensation,2 s_0359 --> s_0020,1,curated_reference,train,0.0,1000.0,3,1,1,2,1,1,1,1,acetaldehyde condensation ; 2 s_0359 --> s_0020 ; forward ; 4.1.1.-|4.1.1.43|4.1.1.72|4.1.1.74 ; YGR087C or YLR044C or YLR134W
r_0097,acetolactate synthase,s_0799 + 2 s_1401 --> s_0146 + s_0460,1,curated_reference,train,0.0,1000.0,2,2,2,4,1,1,1,1,acetolactate synthase ; s_0799 + 2 s_1401 --> s_0146 + s_0460 ; forward ; 2.2.1.6 ; (YCL009C and YMR108W) or YMR108W
r_0099,acetyl-CoA ACP transacylase,s_0376 + s_1845 <=> s_0372 + s_0532,1,curated_reference,train,-1000.0,1000.0,1,2,2,4,1,0,0,1,acetyl-CoA ACP transacylase ; s_0376 + s_1845 <=> s_0372 + s_0532 ; reversible ;  ; YKL192C
r_0100,acetyl-CoA C-acyltransferase (palmitoyl-CoA),s_0250 + s_0534 --> s_0378 + s_1305,1,curated_reference,train,0.0,1000.0,1,2,2,4,1,1,1,1,acetyl-CoA C-acyltransferase (palmitoyl-CoA) ; s_0250 + s_0534 --> s_0378 + s_1305 ; forward ; 2.3.1.16 ; YIL160C
r_0101,acetyl-CoA C-acyltransferase (tetracosanoyl-CoA),s_0243 + s_0534 --> s_0378 + s_1482,1,curated_reference,train,0.0,1000.0,1,2,2,4,1,1,1,1,acetyl-CoA C-acyltransferase (tetracosanoyl-CoA) ; s_0243 + s_0534 --> s_0378 + s_1482 ; forward ; 2.3.1.16 ; YIL160C
r_0102,acetyl-CoA C-acyltransferase (myristoyl-CoA),s_0253 + s_0534 --> s_0378 + s_1179,1,curated_reference,train,0.0,1000.0,1,2,2,4,1,1,1,1,acetyl-CoA C-acyltransferase (myristoyl-CoA) ; s_0253 + s_0534 --> s_0378 + s_1179 ; forward ; 2.3.1.16 ; YIL160C
r_0103,acetyl-CoA C-acetyltransferase,2 s_0373 <=> s_0367 + s_0529,1,curated_reference,train,-1000.0,1000.0,1,1,2,3,1,1,1,1,acetyl-CoA C-acetyltransferase ; 2 s_0373 <=> s_0367 + s_0529 ; reversible ; 2.3.1.9 ; YPL028W
r_0104,acetyl-CoA C-acetyltransferase,2 s_0376 <=> s_0370 + s_0532,1,curated_reference,train,-1000.0,1000.0,1,1,2,3,1,1,1,1,acetyl-CoA C-acetyltransferase ; 2 s_0376 <=> s_0370 + s_0532 ; reversible ; 2.3.1.9 ; YPL028W
r_0105,acetyl-CoA C-acyltransferase (lauroyl-CoA),s_0257 + s_0534 --> s_0378 + s_1076,1,curated_reference,train,0.0,1000.0,1,2,2,4,1,1,1,1,acetyl-CoA C-acyltransferase (lauroyl-CoA) ; s_0257 + s_0534 --> s_0378 + s_1076 ; forward ; 2.3.1.16 ; YIL160C
