reaction_uid,model_reaction_id,reaction_name,model_equation,direction,lower_bound,upper_bound,reactant_compound_uids,product_compound_uids,stoichiometry_json,genes,orfs,gpr,enzyme_evidence_rows,enzyme_protein_ids,enzyme_orfs,enzyme_gene_symbols,enzyme_ec_numbers,enzyme_confidence_levels,metanetx_reaction_id,kegg_reaction_id,bigg_reaction_id,sbo_id,external_database_crossrefs_compact,all_crossrefs_compact,rxndb_id,rxndb_template_id,rxndb_ec_number,rxndb_similarity,confidence_status,evidence_tier,training_role,export_group,label_source,usable_as_first_pass_training_label
MODEL_RXN:0007503,rxnu75,rxnu75,snu_73 --> snu_75,forward,0.0,1000.0,MODEL_CMPD:0003283,MODEL_CMPD:0003284,"{""snu_73"": -1, ""snu_75"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007504,rxnu78,rxnu78,snu_76 --> snu_78,forward,0.0,1000.0,MODEL_CMPD:0003285,MODEL_CMPD:0003286,"{""snu_76"": -1, ""snu_78"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007505,rxnu81,rxnu81,snu_79 --> snu_81,forward,0.0,1000.0,MODEL_CMPD:0003287,MODEL_CMPD:0003288,"{""snu_79"": -1, ""snu_81"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007506,rxnu84,rxnu84,snu_82 --> snu_84,forward,0.0,1000.0,MODEL_CMPD:0003289,MODEL_CMPD:0003290,"{""snu_82"": -1, ""snu_84"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007507,rxnu87,rxnu87,snu_85 --> snu_87,forward,0.0,1000.0,MODEL_CMPD:0003291,MODEL_CMPD:0003292,"{""snu_85"": -1, ""snu_87"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007508,rxnu9,rxnu9,snu_7 --> snu_9,forward,0.0,1000.0,MODEL_CMPD:0003280,MODEL_CMPD:0003294,"{""snu_7"": -1, ""snu_9"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007509,rxnu90,rxnu90,snu_88 --> snu_90,forward,0.0,1000.0,MODEL_CMPD:0003293,MODEL_CMPD:0003295,"{""snu_88"": -1, ""snu_90"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007510,rxnu93,rxnu93,snu_91 --> snu_93,forward,0.0,1000.0,MODEL_CMPD:0003296,MODEL_CMPD:0003297,"{""snu_91"": -1, ""snu_93"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007511,rxnu96,rxnu96,snu_94 --> snu_96,forward,0.0,1000.0,MODEL_CMPD:0003298,MODEL_CMPD:0003299,"{""snu_94"": -1, ""snu_96"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
MODEL_RXN:0007512,rxnu99,rxnu99,snu_97 --> snu_99,forward,0.0,1000.0,MODEL_CMPD:0003300,MODEL_CMPD:0003301,"{""snu_97"": -1, ""snu_99"": 1}",,,,0,,,,,,,,,,,,,,,,underground_no_selected_rxndb_match,review_required,exclude_until_provenance_resolved,excluded_review_required,unresolved_underground_reaction,False
