model_metabolite_id,primary_name,formula,charge,structure,structure_status,reason_code,status,source,review
s_1024,L-leucine,C6H13NO2,0,CC(C)CC(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1025,L-lysine,C6H15N2O2,1,NCCCCC(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1026,L-lysine,C6H15N2O2,1,NCCCCC(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1027,L-lysine,C6H15N2O2,1,NCCCCC(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1028,L-lysine,C6H15N2O2,1,NCCCCC(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1029,L-methionine,C5H11NO2S,0,CSCCC(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1030,L-methionine,C5H11NO2S,0,CSCCC(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1031,L-methionine,C5H11NO2S,0,CSCCC(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1032,L-phenylalanine,C9H11NO2,0,NC(Cc1ccccc1)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1033,L-phenylalanine,C9H11NO2,0,NC(Cc1ccccc1)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1034,L-phenylalanine,C9H11NO2,0,NC(Cc1ccccc1)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1035,L-proline,C5H9NO2,0,O=C(O)C1CCCN1,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1036,L-proline,C5H9NO2,0,O=C(O)C1CCCN1,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1037,L-proline,C5H9NO2,0,O=C(O)C1CCCN1,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1038,L-saccharopine,C11H19N2O6,-1,NC(CCCCNC(CCC(=O)O)C(=O)O)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1039,L-serine,C3H7NO3,0,NC(CO)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1040,L-serine,C3H7NO3,0,NC(CO)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1041,L-serine,C3H7NO3,0,NC(CO)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1042,L-serine,C3H7NO3,0,NC(CO)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1043,L-sorbose,C6H12O6,0,OCC1(O)OCC(O)C(O)C1O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1044,L-sorbose,C6H12O6,0,OCC1(O)OCC(O)C(O)C1O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1045,L-threonine,C4H9NO3,0,CC(O)C(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1046,L-threonine,C4H9NO3,0,CC(O)C(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1047,L-threonine,C4H9NO3,0,CC(O)C(N)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1048,L-tryptophan,C11H12N2O2,0,NC(Cc1c[nH]c2ccccc12)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
s_1049,L-tryptophan,C11H12N2O2,0,NC(Cc1c[nH]c2ccccc12)C(=O)O,parseable,not_applicable,available,yeast-GEM-final.csv,not_required
