model_reaction_id,reaction_name,mass_balance_status,charge_balance_status,missing_formula_status,structure_parse_status,external_mapping_status,manual_review_status,missing_formula_metabolites,unparsable_formula_metabolites
r_1714,D-glucose exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1715,D-mannose exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1716,D-ribose exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1717,D-sorbitol transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1718,D-xylose exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1719,D-xylose transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1720,dADP transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1721,dCDP transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1722,ATP deamination,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1723,dATP deamination,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1724,ADP deamination,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1725,dADP deamination,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1726,deamino-NAD+ diffusion,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1727,decanoate exchange,unbalanced,unbalanced,absent,not_applicable,not_required,required,,
r_1728,deoxyadenosine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1729,deoxyadenylate kinase,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1730,deoxycytidine exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1731,deoxycytidine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1732,deoxyguanosine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1733,deoxyinosine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1734,deoxyuridine kinase (ATP:deoxyuridine),balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1735,deoxyuridine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1736,dephospho-CoA kinase,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1737,dGDP transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1738,dhnpt transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1739,diamine transaminase,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1743,dihydrofolate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1744,dihydroneopterin triphosphate pyrophosphatase,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1745,dihydropteroate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1746,dihydroxyacetone phosphate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1747,diphosphate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1748,dolichol phosphate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1749,dTTP exchange,unbalanced,unbalanced,absent,not_applicable,not_required,required,,
r_1750,dTTP uniport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1751,dUDP diffusion,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1752,dUMP transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1753,episterol exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1754,"ergosta-5,6,22,24,(28)-tetraen-3beta-ol transport",balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1757,ergosterol exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1758,ergosterol transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1759,ergosterol transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1761,ethanol exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1762,ethanol transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1763,"ethanol transport, mitochondrial",balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1764,ethanolamine exchange,unbalanced,unbalanced,absent,not_applicable,not_required,required,,
r_1765,ethyl acetate exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1766,farnesyl diphosphate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1770,fatty acid transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1771,fatty acid transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1772,fatty acid transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1774,fatty acid transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1775,fatty acid transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1776,fatty acid transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1777,myristate (n-C14:0) transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1788,fecosterol exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1790,FMN adenylyltransferase,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1791,FMN exchange,unbalanced,unbalanced,absent,not_applicable,not_required,required,,
r_1792,folic acid exchange,unbalanced,unbalanced,absent,not_applicable,not_required,required,,
r_1793,formate exchange,unbalanced,unbalanced,absent,not_applicable,not_required,required,,
r_1794,formate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1795,formate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1796,formate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1797,fructose-1-phosphate kinase,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1798,fumarate exchange,unbalanced,unbalanced,absent,not_applicable,not_required,required,,
r_1800,gamma-aminobutyrate exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1801,GDP transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1802,GDP transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1803,GDP-alpha-D-mannose transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1805,"glucose transport, vacuolar",balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1806,glutathione disulfide exchange,unbalanced,unbalanced,absent,not_applicable,not_required,required,,
r_1807,glutathione exchange,unbalanced,unbalanced,absent,not_applicable,not_required,required,,
r_1808,glycerol exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1809,glycerol-3-phosphate shuttle,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1810,L-glycine exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1811,glycine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1812,glycoaldehyde transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1813,glycoaldehyde transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1814,glycolaldehyde exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1815,glyoxylate exchange,unbalanced,unbalanced,absent,not_applicable,not_required,required,,
r_1816,glyoxylate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1817,glyoxylate transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1818,guanine exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1819,guanine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1820,guanosine exchange,unbalanced,balanced,absent,not_applicable,not_required,required,,
r_1821,guanosine kinase,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1822,guanosine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1823,guanosine transport,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1824,H+ diffusion,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1825,H+ diffusion,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1826,H+ diffusion,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1827,H+ diffusion,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1829,H+ diffusion,balanced,balanced,absent,not_applicable,not_required,not_required,,
r_1830,H+ diffusion,balanced,balanced,absent,not_applicable,not_required,not_required,,
